instance,family,sumw,alpha,W,kg,ko,gap_pct,tg_ms,to_ms
1,uncorr,53187,0.300000,15956,18,18,0.000000,0.007000,0.008000
1,uncorr,53187,0.500000,26593,31,31,0.000000,0.005000,0.019000
1,uncorr,53187,0.700000,37230,48,48,0.000000,0.005000,0.007000
2,uncorr,51694,0.300000,15508,17,17,0.000000,0.005000,0.021000
2,uncorr,51694,0.500000,25847,31,31,0.000000,0.004000,0.006000
2,uncorr,51694,0.700000,36185,47,47,0.000000,0.004000,0.006000
3,uncorr,55420,0.300000,16626,18,18,0.000000,0.004000,0.021000
3,uncorr,55420,0.500000,27710,31,31,0.000000,0.004000,0.006000
3,uncorr,55420,0.700000,38794,48,48,0.000000,0.025000,0.009000
4,uncorr,52258,0.300000,15677,17,17,0.000000,0.004000,0.007000
4,uncorr,52258,0.500000,26129,30,30,0.000000,0.004000,0.008000
4,uncorr,52258,0.700000,36580,46,46,0.000000,0.004000,0.009000
5,uncorr,53352,0.300000,16005,18,18,0.000000,0.004000,0.006000
5,uncorr,53352,0.500000,26676,32,32,0.000000,0.003000,0.006000
5,uncorr,53352,0.700000,37346,47,47,0.000000,0.004000,0.006000
6,uncorr,45547,0.300000,13664,15,15,0.000000,0.004000,0.006000
6,uncorr,45547,0.500000,22773,28,28,0.000000,0.003000,0.005000
6,uncorr,45547,0.700000,31882,43,43,0.000000,0.004000,0.006000
7,uncorr,49033,0.300000,14709,16,16,0.000000,0.004000,0.006000
7,uncorr,49033,0.500000,24516,28,28,0.000000,0.004000,0.006000
7,uncorr,49033,0.700000,34323,43,43,0.000000,0.004000,0.006000
8,uncorr,51388,0.300000,15416,17,17,0.000000,0.003000,0.006000
8,uncorr,51388,0.500000,25694,30,30,0.000000,0.004000,0.006000
8,uncorr,51388,0.700000,35971,46,46,0.000000,0.004000,0.005000
9,uncorr,41042,0.300000,12312,15,15,0.000000,0.003000,0.006000
9,uncorr,41042,0.500000,20521,26,26,0.000000,0.004000,0.006000
9,uncorr,41042,0.700000,28729,41,41,0.000000,0.004000,0.006000
10,uncorr,50456,0.300000,15136,17,17,0.000000,0.004000,0.006000
10,uncorr,50456,0.500000,25228,30,30,0.000000,0.004000,0.006000
10,uncorr,50456,0.700000,35319,46,46,0.000000,0.003000,0.006000
11,uncorr,50471,0.300000,15141,17,17,0.000000,0.003000,0.005000
11,uncorr,50471,0.500000,25235,29,29,0.000000,0.004000,0.006000
11,uncorr,50471,0.700000,35329,44,44,0.000000,0.004000,0.006000
12,uncorr,47995,0.300000,14398,17,17,0.000000,0.003000,0.005000
12,uncorr,47995,0.500000,23997,31,31,0.000000,0.004000,0.006000
12,uncorr,47995,0.700000,33596,47,47,0.000000,0.004000,0.006000
13,uncorr,47901,0.300000,14370,16,16,0.000000,0.003000,0.006000
13,uncorr,47901,0.500000,23950,29,29,0.000000,0.004000,0.006000
13,uncorr,47901,0.700000,33530,45,45,0.000000,0.004000,0.006000
14,uncorr,55981,0.300000,16794,18,18,0.000000,0.004000,0.006000
14,uncorr,55981,0.500000,27990,33,33,0.000000,0.004000,0.006000
14,uncorr,55981,0.700000,39186,49,49,0.000000,0.004000,0.006000
15,uncorr,53856,0.300000,16156,18,18,0.000000,0.004000,0.006000
15,uncorr,53856,0.500000,26928,31,31,0.000000,0.004000,0.006000
15,uncorr,53856,0.700000,37699,46,46,0.000000,0.004000,0.006000
16,uncorr,48075,0.300000,14422,16,16,0.000000,0.004000,0.006000
16,uncorr,48075,0.500000,24037,29,29,0.000000,0.003000,0.005000
16,uncorr,48075,0.700000,33652,44,44,0.000000,0.004000,0.006000
17,uncorr,50401,0.300000,15120,17,17,0.000000,0.004000,0.006000
17,uncorr,50401,0.500000,25200,31,31,0.000000,0.004000,0.006000
17,uncorr,50401,0.700000,35280,48,48,0.000000,0.004000,0.006000
18,uncorr,52461,0.300000,15738,17,17,0.000000,0.003000,0.005000
18,uncorr,52461,0.500000,26230,30,30,0.000000,0.004000,0.006000
18,uncorr,52461,0.700000,36722,46,46,0.000000,0.004000,0.006000
19,uncorr,48425,0.300000,14527,17,17,0.000000,0.003000,0.006000
19,uncorr,48425,0.500000,24212,30,30,0.000000,0.004000,0.006000
19,uncorr,48425,0.700000,33897,46,46,0.000000,0.004000,0.006000
20,uncorr,48211,0.300000,14463,17,17,0.000000,0.004000,0.006000
20,uncorr,48211,0.500000,24105,30,30,0.000000,0.004000,0.006000
20,uncorr,48211,0.700000,33747,46,46,0.000000,0.004000,0.006000
1,subset,49933,0.300000,14979,17,17,0.000000,0.004000,0.006000
1,subset,49933,0.500000,24966,29,29,0.000000,0.004000,0.006000
1,subset,49933,0.700000,34953,44,44,0.000000,0.003000,0.006000
2,subset,47366,0.300000,14209,16,16,0.000000,0.005000,0.009000
2,subset,47366,0.500000,23683,28,28,0.000000,0.005000,0.011000
2,subset,47366,0.700000,33156,44,44,0.000000,0.003000,0.005000
